Animal_Id;animal_type;animal_breed;Kennel_Number;Kennel_Status;Tag_Type;Activity_Number;Activity_Sequence;Source_Id;Census_Tract;Council_District;intake_type;Intake_Subtype;Reason;Staff_Id;intake_date;intake_time;Due_Out;intake_condition;Hold_Request;Outcome_Type;Outcome_Date;Outcome_Time;Receipt_Number;Impound_Number;Service_Request_Number;Outcome_Condition;chip_status;Animal_Origin;Additional_Information;animal_stay_days;Month;Year;;;;;;;;;;;;;;;;
A1068084;KV;CHICKEN;BAY;9;LIVESTOCK;A19-173681;1;P9991184;11701;5;DR;UNINJURED;OTHER;DL;1763;5/18/2019;00:00;07:47:00;5/18/2019;00:00;UNHEALTHY;UNTREATABLE;NON-CONTAGIOUS;RESCU;ONLY;OTHER;00:00:00;K19-461641;SCAN;NO;CHIP;SWEEP;4;FY2017;NEXT_FY;;;;;;;;;;;;;
A1068362;OFFSET_1;52;SH;IC;11;IMPOUNDED;A19-174019;1;P0884601;2500;2;CONFISOFFSET_1ED;QUARANTINE;OTHRINTAKS;AR1758;5/20/2019;00:00;15:09:00;5/30/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RABIES;SPECIMEN;OTHER;00:00:00;K19-461997;UNABLE;TO;SCAN;FIELD;2;FY2017;NEXT_FY;;;;;;;;;;;;;
A1063396;OFFSET_1;52;SH;PSOFFSET_1;6;AVAILABLE;1;P0879085;20500;6;FOSTER;GENERAL;DF;05/12/2019;00:00;15:55:00;05/12/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-460902;SCAN;CHIP;OVER;THE;COUNTER;10;FY2017;NEXT_FY;1.107142857;;;;;;;;;;;;;
A1060859;OFFSET_1;52;SH;PCC;3;AVAILABLE;A19-160016;1;P0765433;20500;6;FOSTER;TREATMENT;OTHER;BP;5/16/2019;00:00;08:46:00;5/16/2019;00:00;TREATABLE;REHABILITABLE;CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-461402;SCAN;NO;CHIP;OVER;THE;COUNTER;6;FY2017;NEXT_FY;;;;;;;;;;;;
A1060858;OFFSET_1;52;SH;PCC;3;AVAILABLE;A19-160016;1;P0765433;20500;6;FOSTER;TREATMENT;OTHER;BP;5/16/2019;00:00;08:46:00;5/16/2019;00:00;TREATABLE;REHABILITABLE;CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-461401;SCAN;NO;CHIP;OVER;THE;COUNTER;6;FY2017;NEXT_FY;;;;;;;;;;;;
A1061012;OFFSET_1;52;SH;PSOFFSET_1;1;AVAILABLE;1;P0873437;20500;6;FOSTER;RETURN;OTHRINTAKS;AH;5/21/2019;00:00;15:19:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;EVERYDAY;ADOPTION;CENTER;OTHER;00:00:00;K19-462181;SCAN;CHIP;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;;
A1065633;OFFSET_1;52;SH;PSOFFSET_1;8;AVAILABLE;1;P0842148;20500;6;FOSTER;GENERAL;OTHER;JZ;5/21/2019;00:00;11:23:00;5/21/2019;00:00;HEALTHY;ADOPTION;OTHER;00:00:00;K19-462101;SCAN;CHIP;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;;;;;;
A1065931;OFFSET_1;52;SH;PSOFFSET_1;1;AVAILABLE;1;P0680315;20500;6;FOSTER;SURGERY;OTHER;BP;5/21/2019;00:00;10:47:00;5/21/2019;00:00;HEALTHY;ADOP;RESCU;OTHER;00:00:00;K19-462090;UNABLE;TO;SCAN;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1065637;OFFSET_1;52;SH;PSOFFSET_1;8;AVAILABLE;1;P0842148;20500;6;FOSTER;GENERAL;OTHRINTAKS;JZ;5/21/2019;00:00;11:21:00;5/21/2019;00:00;HEALTHY;ADOPTION;OTHER;00:00:00;K19-462099;SCAN;CHIP;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;;;;;;
A1065636;OFFSET_1;52;SH;PSOFFSET_1;8;AVAILABLE;1;P0842148;20500;6;FOSTER;GENERAL;OTHER;JZ;5/21/2019;00:00;11:24:00;5/21/2019;00:00;HEALTHY;ADOPTION;OTHER;00:00:00;K19-462103;SCAN;CHIP;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;;;;;;
A1061009;OFFSET_1;52;SH;PSOFFSET_1;1;AVAILABLE;1;P0873437;20500;6;FOSTER;RETURN;OTHRINTAKS;AH;5/21/2019;00:00;15:19:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;EVERYDAY;ADOPTION;CENTER;OTHER;00:00:00;K19-462180;SCAN;CHIP;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;;
A1065932;OFFSET_1;52;SH;AC;25;AVAILABLE;1;P0680315;20500;6;FOSTER;SURGERY;OTHER;BP;5/21/2019;00:00;10:48:00;5/21/2019;00:00;HEALTHY;ADOP;RESCU;OTHER;00:00:00;K19-462091;UNABLE;TO;SCAN;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1065934;OFFSET_1;52;SH;AC;29;AVAILABLE;1;P0680315;20500;6;FOSTER;SURGERY;OTHER;BP;5/21/2019;00:00;10:51:00;5/21/2019;00:00;TREATABLE;MANAGEABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-462093;UNABLE;TO;SCAN;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;;
